Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.6835364337229545,0.6851397861887639,0.6835364337229545,0.6843072574076298
Random Forest,0.7013180800795822,0.6976858242151098,0.7013180800795822,0.699252512884198
Naive Bayes,0.717607560308381,0.8195452905119949,0.717607560308381,0.6164818492572341
SVC,0.5778413330017409,0.5650547637140237,0.5778413330017409,0.4402081764843686
KNN,0.700945038547625,0.691271193425977,0.700945038547625,0.6937315459361781
