Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.979457079970653,0.9940659404407678,0.979457079970653,0.9853556848868662
Random Forest,1.0,1.0,1.0,1.0
Naive Bayes,1.0,1.0,1.0,1.0
SVC,0.09581804842259721,0.07981216291640904,0.09581804842259721,0.05724096597234466
KNN,0.780630961115187,0.9695798775870519,0.780630961115187,0.8498416342389093
