Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.6815874002694021,0.6809148048610744,0.6815874002694021,0.6812413807311043
Random Forest,0.7206507097710082,0.7106124878858237,0.7206507097710082,0.7126563567282569
Naive Bayes,0.7047974303181017,0.7064748307516505,0.7047974303181017,0.7055674509024571
SVC,0.7143301212309605,0.7897779987015332,0.7143301212309605,0.6102423395232212
KNN,0.7203398611542845,0.7107116991876395,0.7203398611542845,0.7128645087457383
