Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.6879079888094498,0.6877824472194354,0.6879079888094498,0.6878431933594606
Random Forest,0.7210651745933064,0.7105680651402697,0.7210651745933064,0.7124677082858349
Naive Bayes,0.7047974303181017,0.7064748307516505,0.7047974303181017,0.7055674509024571
SVC,0.7141228888198115,0.7889278651807856,0.7141228888198115,0.609784764195703
KNN,0.7210651745933064,0.7119286755211026,0.7210651745933064,0.7141330379666839
