Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.6809657030359548,0.6919438837796743,0.6809657030359548,0.6849192512985133
Random Forest,0.7101854730079784,0.7103777812226266,0.7101854730079784,0.7102080874103486
Naive Bayes,0.7240700445549684,0.7137734120538948,0.7240700445549684,0.7155027077016313
SVC,0.708216765102062,0.8136487197598136,0.708216765102062,0.5948843006082991
KNN,0.7146409698476842,0.7099897133149137,0.7146409698476842,0.7119846866040476
