Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.9997111496244945,0.9997111496244945,0.9997111496244945,0.9997111496244945
Random Forest,0.9998555748122473,0.999855824251259,0.9998555748122473,0.9998552630673804
Naive Bayes,0.9997111496244945,0.9997121456602721,0.9997111496244945,0.999709894634467
SVC,0.7863951473136915,0.6352958801901087,0.7863951473136915,0.696934968682576
KNN,0.9880127094165222,0.9887832141533264,0.9880127094165222,0.9879216542450352
